"","Tray..","Sample","site","microsite_condition","surface_depth","Species","double_control"
"1",110,"14-D-5","14","dung","5-10","Chenopodium leptophyllum",FALSE
"2",108,"14-D-S","14","dung","surface","Chenopodium leptophyllum",FALSE
"3",92,"12-B-S","12","biocrust","surface","Chenopodium leptophyllum",FALSE
"4",93,"12-B-0","12","biocrust","0-5","Chenopodium leptophyllum",FALSE
"5",36,"5-D-S","5","dung","surface","Chenopodium leptophyllum",FALSE
"6",132,"17-D-S","17","dung","surface","Bassia scoparia",FALSE
"7",37,"5-D-0","5","dung","0-5","Artemisia frigida",FALSE
"8",37,"5-D-0","5","dung","0-5","Artemisia frigida",FALSE
"9",37,"5-D-0","5","dung","0-5","Artemisia frigida",FALSE
"10",37,"5-D-0","5","dung","0-5","Artemisia frigida",FALSE
"11",44,"6-D-S","6","dung","surface","Artemisia frigida",FALSE
"12",47,"6-C-0","6","control","0-5","Artemisia frigida",FALSE
"13",47,"6-C-0","6","control","0-5","Artemisia frigida",FALSE
"14",109,"14-D-0","14","dung","0-5","Artemisia frigida",FALSE
"15",109,"14-D-0","14","dung","0-5","Artemisia frigida",FALSE
"16",109,"14-D-0","14","dung","0-5","Artemisia frigida",FALSE
"17",109,"14-D-0","14","dung","0-5","Artemisia frigida",FALSE
"18",109,"14-D-0","14","dung","0-5","Artemisia frigida",FALSE
"19",132,"17-D-S","17","dung","surface","Artemisia frigida",FALSE
"20",50,"7-B-0","7","biocrust","0-5","Artemisia frigida",FALSE
"21",5,"1-D-0","1","dung","0-5","Artemisia frigida",FALSE
"22",5,"1-D-0","1","dung","0-5","Artemisia frigida",FALSE
"23",6,"1-D-5","1","dung","5-10","Fallopia convolvulus",FALSE
"24",66,"9-B-0","9","biocrust","0-5","Artemisia frigida",FALSE
"25",66,"9-B-0","9","biocrust","0-5","Artemisia frigida",FALSE
"26",82,"11-B-0","11","biocrust","0-5","Artemisia frigida",FALSE
"27",121,"16-B-S","16","biocrust","surface","Artemisia frigida",FALSE
"28",100,"13-D-S","13","dung","surface","Chenopodium leptophyllum",FALSE
"29",103,"13-C-0","13","control","0-5","Artemisia frigida",FALSE
"30",11,"2-B-5","2","biocrust","5-10","Artemisia frigida",FALSE
"31",71,"9-C-0","9","control","0-5","Artemisia frigida",FALSE
"32",116,"15-D-S","15","dung","surface","Suaeda calceoliformis",FALSE
"33",38,"5-D-5","5","dung","5-10","Artemisia frigida",FALSE
"34",125,"16-D-0","16","dung","0-5","Artemisia frigida",FALSE
"35",145,"19-B-S","19","biocrust","surface","Artemisia frigida",FALSE
"36",124,"16-D-S","16","dung","surface","Artemisia frigida",FALSE
"37",101,"13-D-0","13","dung","0-5","Artemisia frigida",FALSE
"38",65,"9-B-S","9","biocrust","surface","Artemisia frigida",FALSE
"39",4,"1-D-S","1","dung","surface","Chenopodium leptophyllum",FALSE
"40",89,"12-B-S","12","biocrust","surface","Artemisia frigida",FALSE
"41",87,"11-C-0","11","control","0-5","Artemisia frigida",FALSE
"42",140,"18-D-S","18","dung","surface","Sporobolus cryptandrus",FALSE
"43",98,"13-B-0","13","biocrust","0-5","Sporobolus cryptandrus",FALSE
"44",54,"7-D-5","7","dung","5-10","Gnaphalium uliginosum",FALSE
"45",25,"4-B-S","4","biocrust","surface","Koeleria macrantha",FALSE
"46",25,"4-B-S","4","biocrust","surface","Koeleria macrantha",FALSE
"47",25,"4-B-S","4","biocrust","surface","Koeleria macrantha",FALSE
"48",61,"8-D-0","8","dung","0-5","Poa compressa",FALSE
"49",148,"19-D-S","19","dung","surface","Bassia scoparia",FALSE
"50",148,"19-D-S","19","dung","surface","Bassia scoparia",FALSE
"51",60,"8-D-S","8","dung","surface","Plantago major",FALSE
"52",113,"15-B-S","15","biocrust","surface","Hesperostipa comata",FALSE
"53",117,"15-D-0","15","dung","0-5","Sporobolus cryptandrus",FALSE
"54",117,"15-D-0","15","dung","0-5","Sporobolus cryptandrus",FALSE
"55",156,"20-D-S","20","dung","surface","Sporobolus cryptandrus",FALSE
"56",124,"16-D-S","16","dung","surface","Sporobolus cryptandrus",FALSE
"57",118,"15-D-5","15","dung","5-10","Sporobolus cryptandrus",FALSE
"58",93,"12-D-0","12","dung","0-5","Sporobolus cryptandrus",FALSE
"59",133,"17-D-0","17","dung","0-5","Sporobolus cryptandrus",FALSE
"60",9,"2-B-S","2","biocrust","surface","Poa compressa",FALSE
"61",39,"5-C-0","5","control","0-5","Koeleria macrantha",FALSE
"62",97,"13-B-S","13","biocrust","surface","Koeleria macrantha",FALSE
"63",101,"13-D-0","13","dung","0-5","Sporobolus cryptandrus",FALSE
"64",6,"1-D-5","1","dung","5-10","Artemisia frigida",FALSE
"65",132,"17-D-S","17","dung","surface","Suaeda calceoliformis",FALSE
"66",157,"20-D-0","20","dung","0-5","Bassia scoparia",FALSE
"67",64,"8-C-5","8","control","5-10","Fallopia convolvulus",FALSE
"68",89,"12-B-S","12","biocrust","surface","Artemisia frigida",FALSE
"69",90,"12-B-0","12","biocrust","0-5","Koeleria macrantha",FALSE
"70",90,"12-B-0","12","biocrust","0-5","Koeleria macrantha",FALSE
"71",41,"6-B-S","6","biocrust","surface","Artemisia frigida",FALSE
"72",25,"4-B-S","4","biocrust","surface","Artemisia frigida",FALSE
"73",89,"12-B-S","12","biocrust","surface","Koeleria macrantha",FALSE
"74",89,"12-B-S","12","biocrust","surface","Koeleria macrantha",FALSE
"75",89,"12-B-S","12","biocrust","surface","Koeleria macrantha",FALSE
"76",89,"12-B-S","12","biocrust","surface","Koeleria macrantha",FALSE
"77",89,"12-B-S","12","biocrust","surface","Koeleria macrantha",FALSE
"78",89,"12-B-S","12","biocrust","surface","Koeleria macrantha",FALSE
"79",89,"12-B-S","12","biocrust","surface","Koeleria macrantha",FALSE
"80",89,"12-B-S","12","biocrust","surface","Koeleria macrantha",FALSE
"81",89,"12-B-S","12","biocrust","surface","Koeleria macrantha",FALSE
"82",127,"16-C-0","16","control","0-5","Artemisia frigida",FALSE
"83",28,"4-D-S","4","dung","surface","Artemisia frigida",FALSE
"84",73,"10-B-S","10","biocrust","surface","Artemisia frigida",FALSE
"85",33,"5-B-S","5","biocrust","surface","Artemisia frigida",FALSE
"86",33,"5-B-S","5","biocrust","surface","Artemisia frigida",FALSE
"87",33,"5-B-S","5","biocrust","surface","Koeleria macrantha",FALSE
"88",57,"8-B-S","8","biocrust","surface","Koeleria macrantha",FALSE
"89",101,"13-D-0","13","dung","0-5","Koeleria macrantha",FALSE
"90",101,"13-D-0","13","dung","0-5","Koeleria macrantha",FALSE
"91",92,"12-D-S","12","dung","surface","Koeleria macrantha",FALSE
"92",92,"12-D-S","12","dung","surface","Sporobolus cryptandrus",FALSE
"93",151,"19-C-0","19","control","0-5","Koeleria macrantha",FALSE
"94",92,"12-B-5","12","biocrust","5-10","Chenopodium leptophyllum",FALSE
"95",37,"5-D-0","5","dung","0-5","Gnaphalium uliginosum",FALSE
"96",28,"4-D-S","4","dung","surface","Carex duriuscula",FALSE
"97",28,"4-D-S","4","dung","surface","Carex duriuscula",FALSE
"98",28,"4-D-S","4","dung","surface","Carex duriuscula",FALSE
"99",28,"4-D-S","4","dung","surface","Carex duriuscula",FALSE
"100",28,"4-D-S","4","dung","surface","Carex duriuscula",FALSE
"101",85,"11-D-0","11","dung","0-5","Carex duriuscula",FALSE
"102",57,"8-B-S","8","biocrust","surface","Carex duriuscula",FALSE
"103",117,"15-D-0","15","dung","0-5","Carex duriuscula",FALSE
"104",65,"9-B-S","9","biocrust","surface","Carex duriuscula",FALSE
"105",65,"9-B-S","9","biocrust","surface","Carex duriuscula",FALSE
"106",65,"9-B-S","9","biocrust","surface","Carex duriuscula",FALSE
"107",65,"9-B-S","9","biocrust","surface","Carex duriuscula",FALSE
"108",29,"4-D-0","4","dung","0-5","Poa pratensis",FALSE
"109",93,"12-D-0","12","dung","0-5","Androsace septentrionalis",FALSE
"110",95,"12-C-0","12","control","0-5","Androsace septentrionalis",FALSE
"111",44,"6-D-S","6","dung","surface","Typha latifolia",FALSE
"112",74,"10-B-0","10","biocrust","0-5","Typha latifolia",FALSE
"113",21,"3-D-0","3","dung","0-5","Typha latifolia",FALSE
"114",140,"18-D-S","18","dung","surface","Carex duriuscula",FALSE
"115",140,"18-D-S","18","dung","surface","Carex duriuscula",FALSE
"116",140,"18-D-S","18","dung","surface","Carex duriuscula",FALSE
"117",140,"18-D-S","18","dung","surface","Carex duriuscula",FALSE
"118",84,"11-D-S","11","dung","surface","Carex duriuscula",FALSE
"119",84,"11-D-S","11","dung","surface","Carex duriuscula",FALSE
"120",84,"11-D-S","11","dung","surface","Carex duriuscula",FALSE
"121",84,"11-D-S","11","dung","surface","Carex duriuscula",FALSE
"122",84,"11-D-S","11","dung","surface","Carex duriuscula",FALSE
"123",84,"11-D-S","11","dung","surface","Carex praegracilis",FALSE
"124",36,"5-D-S","5","dung","surface","Carex praegracilis",FALSE
"125",36,"5-D-S","5","dung","surface","Carex duriuscula",FALSE
"126",36,"5-D-S","5","dung","surface","Carex duriuscula",FALSE
"127",36,"5-D-S","5","dung","surface","Carex duriuscula",FALSE
"128",4,"1-D-S","1","dung","surface","Carex duriuscula",FALSE
"129",4,"1-D-S","1","dung","surface","Carex duriuscula",FALSE
"130",76,"10-D-S","10","dung","surface","Carex duriuscula",FALSE
"131",103,"13-C-0","13","control","0-5","Androsace occidentalis",FALSE
"132",53,"7-D-0","7","dung","0-5","Typha latifolia",FALSE
"133",124,"16-D-S","16","dung","surface","Carex duriuscula",FALSE
"134",124,"16-D-S","16","dung","surface","Carex duriuscula",FALSE
"135",124,"16-D-S","16","dung","surface","Carex duriuscula",FALSE
"136",124,"16-D-S","16","dung","surface","Carex duriuscula",FALSE
"137",151,"19-C-0","19","control","0-5","Carex inops subsp. heliophila",FALSE
"138",151,"19-C-0","19","control","0-5","Carex duriuscula",FALSE
"139",141,"18-D-0","18","dung","0-5","Carex praegracilis",FALSE
"140",141,"18-D-0","18","dung","0-5","Carex duriuscula",FALSE
"141",132,"17-D-S","17","dung","surface","Sporobolus cryptandrus",FALSE
"142",132,"17-D-S","17","dung","surface","Sporobolus cryptandrus",FALSE
"143",132,"17-D-S","17","dung","surface","Sporobolus cryptandrus",FALSE
"144",132,"17-D-S","17","dung","surface","Sporobolus cryptandrus",FALSE
"145",132,"17-D-S","17","dung","surface","Sporobolus cryptandrus",FALSE
"146",132,"17-D-S","17","dung","surface","Juncus balticus",FALSE
"147",132,"17-D-S","17","dung","surface","Juncus balticus",FALSE
"148",41,"6-B-S","6","biocrust","surface","Bassia scoparia",FALSE
"149",37,"5-D-0","5","dung","0-5","Juncus balticus",FALSE
"150",37,"5-D-0","5","dung","0-5","Juncus balticus",FALSE
"151",37,"5-D-0","5","dung","0-5","Juncus balticus",FALSE
"152",37,"5-D-0","5","dung","0-5","Juncus balticus",FALSE
"153",37,"5-D-0","5","dung","0-5","Sporobolus cryptandrus",FALSE
"154",37,"5-D-0","5","dung","0-5","Carex praegracilis",FALSE
"155",37,"5-D-0","5","dung","0-5","Carex duriuscula",FALSE
"156",37,"5-D-0","5","dung","0-5","Carex duriuscula",FALSE
"157",52,"7-D-S","7","dung","surface","Gnaphalium uliginosum",FALSE
"158",70,"9-D-5","9","dung","5-10","Carex duriuscula",FALSE
"159",85,"11-D-0","11","dung","0-5","Carex inops subsp. heliophila",FALSE
"160",148,"19-D-S","19","dung","surface","Carex inops subsp. heliophila",FALSE
"161",148,"19-D-S","19","dung","surface","Carex duriuscula",FALSE
"162",60,"8-D-S","8","dung","surface","Juncus balticus",FALSE
"163",60,"8-D-S","8","dung","surface","Juncus balticus",FALSE
"164",60,"8-D-S","8","dung","surface","Juncus balticus",FALSE
"165",60,"8-D-S","8","dung","surface","Juncus balticus",FALSE
"166",60,"8-D-S","8","dung","surface","Juncus balticus",FALSE
"167",60,"8-D-S","8","dung","surface","Juncus balticus",FALSE
"168",60,"8-D-S","8","dung","surface","Juncus balticus",FALSE
"169",60,"8-D-S","8","dung","surface","Juncus balticus",FALSE
"170",60,"8-D-S","8","dung","surface","Juncus balticus",FALSE
"171",60,"8-D-S","8","dung","surface","Juncus balticus",FALSE
"172",60,"8-D-S","8","dung","surface","Carex praegracilis",FALSE
"173",60,"8-D-S","8","dung","surface","Carex duriuscula",FALSE
"174",60,"8-D-S","8","dung","surface","Hesperostipa comata",FALSE
"175",60,"8-D-S","8","dung","surface","Poa pratensis",FALSE
"176",156,"20-D-S","20","dung","surface","Sporobolus cryptandrus",FALSE
"177",156,"20-D-S","20","dung","surface","Sporobolus cryptandrus",FALSE
"178",156,"20-D-S","20","dung","surface","Carex duriuscula",FALSE
"179",156,"20-D-S","20","dung","surface","Carex duriuscula",FALSE
"180",156,"20-D-S","20","dung","surface","Carex duriuscula",FALSE
"181",156,"20-D-S","20","dung","surface","Carex duriuscula",FALSE
"182",81,"11-B-S","11","biocrust","surface","Carex inops subsp. heliophila",FALSE
"183",53,"7-D-0","7","dung","0-5","Carex inops subsp. heliophila",FALSE
"184",152,"19-C-5","19","control","5-10","Carex duriuscula",FALSE
"185",152,"19-C-5","19","control","5-10","Carex duriuscula",FALSE
"186",152,"19-C-5","19","control","5-10","Carex duriuscula",FALSE
"187",152,"19-C-5","19","control","5-10","Carex duriuscula",FALSE
"188",152,"19-C-5","19","control","5-10","Carex duriuscula",FALSE
"189",152,"19-C-5","19","control","5-10","Carex duriuscula",FALSE
"190",152,"19-C-5","19","control","5-10","Carex duriuscula",FALSE
"191",149,"19-D-0","19","dung","0-5","Carex praegracilis",FALSE
"192",71,"9-C-0","9","control","0-5","Carex duriuscula",FALSE
"193",46,"6-D-5","6","dung","5-10","Carex duriuscula",FALSE
"194",46,"6-D-5","6","dung","5-10","Carex duriuscula",FALSE
"195",45,"6-D-0","6","dung","0-5","Carex duriuscula",FALSE
"196",45,"6-D-0","6","dung","0-5","Carex duriuscula",FALSE
"197",45,"6-D-0","6","dung","0-5","Carex duriuscula",FALSE
"198",45,"6-D-0","6","dung","0-5","Carex duriuscula",FALSE
"199",12,"2-D-S","2","dung","surface","Carex duriuscula",FALSE
"200",12,"2-D-S","2","dung","surface","Carex duriuscula",FALSE
"201",12,"2-D-S","2","dung","surface","Carex duriuscula",FALSE
"202",12,"2-D-S","2","dung","surface","Carex duriuscula",FALSE
"203",12,"2-D-S","2","dung","surface","Carex duriuscula",FALSE
"204",30,"4-D-5","4","dung","5-10","Carex duriuscula",FALSE
"205",30,"4-D-5","4","dung","5-10","Carex duriuscula",FALSE
